"","ID","speakerID","condition","VAS","relVAS"
"1","L1","HH","ClearMask",97,NA
"2","L1","HH","ConvMask",71,NA
"3","L1","HH","ConvNoMask",84,NA
"4","L1","HH","ClearMask",95,NA
"5","L1","HH","ConvMask",74,NA
"6","L1","HH","ConvNoMask",94,NA
"7","L1","HH","ClearMask",91,NA
"8","L1","HH","ConvMask",78,NA
"9","L1","HH","ConvNoMask",85,NA
"10","L1","HH","ClearMask",90,NA
"11","L1","HH","ConvMask",85,NA
"12","L1","HH","ConvNoMask",81,NA
"13","L1","HH","ClearMask",89,75
"14","L1","HH","ConvMask",80,84
"15","L1","HH","ConvNoMask",79,91
"16","L1","MS","ClearMask",99,NA
"17","L1","MS","ConvMask",100,NA
"18","L1","MS","ConvNoMask",99,NA
"19","L1","MS","ClearMask",96,NA
"20","L1","MS","ConvMask",91,NA
"21","L1","MS","ConvNoMask",94,NA
"22","L1","MS","ClearMask",100,90
"23","L1","MS","ConvMask",93,91
"24","L1","MS","ConvNoMask",100,91
"25","L1","MS","ClearMask",92,NA
"26","L1","MS","ConvMask",83,NA
"27","L1","MS","ConvNoMask",93,NA
"28","L1","MS","ClearMask",88,NA
"29","L1","MS","ConvMask",94,NA
"30","L1","MS","ConvNoMask",94,NA
"31","L1","SK","ClearMask",100,NA
"32","L1","SK","ConvMask",63,NA
"33","L1","SK","ConvNoMask",98,NA
"34","L1","SK","ClearMask",94,70
"35","L1","SK","ConvMask",95,87
"36","L1","SK","ConvNoMask",87,91
"37","L1","SK","ClearMask",92,NA
"38","L1","SK","ConvMask",97,NA
"39","L1","SK","ConvNoMask",96,NA
"40","L1","SK","ClearMask",94,NA
"41","L1","SK","ConvMask",59,NA
"42","L1","SK","ConvNoMask",97,NA
"43","L1","SK","ClearMask",97,NA
"44","L1","SK","ConvMask",98,NA
"45","L1","SK","ConvNoMask",100,NA
"46","L10","DH","ClearMask",100,NA
"47","L10","DH","ConvMask",98,NA
"48","L10","DH","ConvNoMask",94,NA
"49","L10","DH","ClearMask",65,80
"50","L10","DH","ConvMask",98,60
"51","L10","DH","ConvNoMask",98,71
"52","L10","DH","ClearMask",100,NA
"53","L10","DH","ConvMask",94,NA
"54","L10","DH","ConvNoMask",100,NA
"55","L10","DH","ClearMask",85,NA
"56","L10","DH","ConvMask",98,NA
"57","L10","DH","ConvNoMask",98,NA
"58","L10","DH","ClearMask",100,NA
"59","L10","DH","ConvMask",94,NA
"60","L10","DH","ConvNoMask",97,NA
"61","L10","MS","ClearMask",100,NA
"62","L10","MS","ConvMask",98,NA
"63","L10","MS","ConvNoMask",100,NA
"64","L10","MS","ClearMask",100,NA
"65","L10","MS","ConvMask",94,NA
"66","L10","MS","ConvNoMask",98,NA
"67","L10","MS","ClearMask",100,NA
"68","L10","MS","ConvMask",99,NA
"69","L10","MS","ConvNoMask",100,NA
"70","L10","MS","ClearMask",100,NA
"71","L10","MS","ConvMask",99,NA
"72","L10","MS","ConvNoMask",100,NA
"73","L10","MS","ClearMask",100,100
"74","L10","MS","ConvMask",100,100
"75","L10","MS","ConvNoMask",100,100
"76","L10","PB","ClearMask",98,NA
"77","L10","PB","ConvMask",100,NA
"78","L10","PB","ConvNoMask",100,NA
"79","L10","PB","ClearMask",99,100
"80","L10","PB","ConvMask",97,99
"81","L10","PB","ConvNoMask",100,100
"82","L10","PB","ClearMask",100,NA
"83","L10","PB","ConvMask",99,NA
"84","L10","PB","ConvNoMask",100,NA
"85","L10","PB","ClearMask",97,NA
"86","L10","PB","ConvMask",95,NA
"87","L10","PB","ConvNoMask",100,NA
