"","ID","fileID","condition","speakerID","Target","Response","autoscore","Response.R","autoscore.R"
"1","L1","HH_word_ClearMask_back","ClearMask","HH","back","sat",0,"",NA
"2","L1","HH_word_ClearMask_bag","ClearMask","HH","bag","bag",1,"",NA
"3","L1","HH_word_ClearMask_bat","ClearMask","HH","bat","gap",0,"",NA
"4","L1","HH_word_ClearMask_beat","ClearMask","HH","beat","beat",1,"",NA
"5","L1","HH_word_ClearMask_book","ClearMask","HH","book","book",1,"",NA
"6","L1","HH_word_ClearMask_boot","ClearMask","HH","boot","boot",1,"",NA
"7","L1","HH_word_ClearMask_cab","ClearMask","HH","cab","crab",0,"",NA
"8","L1","HH_word_ClearMask_can","ClearMask","HH","can","hand",0,"",NA
"9","L1","HH_word_ClearMask_cap","ClearMask","HH","cap","cap",1,"",NA
"10","L1","HH_word_ClearMask_chai","ClearMask","HH","chai","try",0,"",NA
"11","L1","HH_word_ClearMask_cheap","ClearMask","HH","cheap","soup",0,"",NA
"12","L1","HH_word_ClearMask_chip","ClearMask","HH","chip","chip",1,"",NA
"13","L1","HH_word_ClearMask_dot","ClearMask","HH","dot","stop",0,"",NA
"14","L1","HH_word_ClearMask_eat","ClearMask","HH","eat","eat",1,"",NA
"15","L1","HH_word_ClearMask_fat","ClearMask","HH","fat","fat",1,"",NA
"16","L1","HH_word_ClearMask_feet","ClearMask","HH","feet","feet",1,"",NA
"17","L1","HH_word_ClearMask_fit","ClearMask","HH","fit","sit",0,"",NA
"18","L1","HH_word_ClearMask_gap","ClearMask","HH","gap","gap",1,"",NA
"19","L1","HH_word_ClearMask_heat","ClearMask","HH","heat","eat",0,"",NA
"20","L1","HH_word_ClearMask_hit","ClearMask","HH","hit","hit",1,"",NA
"21","L1","HH_word_ClearMask_hot","ClearMask","HH","hot","top",0,"",NA
"22","L1","HH_word_ClearMask_it","ClearMask","HH","it","sit",0,"",NA
"23","L1","HH_word_ClearMask_keen","ClearMask","HH","keen","core",0,"",NA
"24","L1","HH_word_ClearMask_knot","ClearMask","HH","knot","not",1,"",NA
"25","L1","HH_word_ClearMask_mad","ClearMask","HH","mad","mad",1,"",NA
"26","L1","HH_word_ClearMask_neat","ClearMask","HH","neat","boot",0,"",NA
"27","L1","HH_word_ClearMask_pad","ClearMask","HH","pad","had",0,"",NA
"28","L1","HH_word_ClearMask_pat","ClearMask","HH","pat","hat",0,"",NA
"29","L1","HH_word_ClearMask_sheep","ClearMask","HH","sheep","sheet",0,"",NA
"30","L1","HH_word_ClearMask_ship","ClearMask","HH","ship","ship",1,"",NA
"31","L1","HH_word_ClearMask_shy","ClearMask","HH","shy","shy",1,"",NA
"32","L1","HH_word_ClearMask_sigh","ClearMask","HH","sigh","sad",0,"",NA
"33","L1","HH_word_ClearMask_sip","ClearMask","HH","sip","sit",0,"",NA
"34","L1","HH_word_ClearMask_tan","ClearMask","HH","tan","hand",0,"",NA
"35","L1","HH_word_ClearMask_teen","ClearMask","HH","teen","team",0,"",NA
"36","L1","HH_word_ClearMask_ten","ClearMask","HH","ten","end",0,"",NA
"37","L1","HH_word_ClearMask_tip","ClearMask","HH","tip","tip",1,"",NA
"38","L1","HH_word_ClearMask_tot","ClearMask","HH","tot","cup",0,"",NA
"39","L1","HH_word_ClearMask_vat","ClearMask","HH","vat","X",0,"",NA
"40","L1","HH_word_ConvMask_back","ConvMask","HH","back","back",1,"",NA
"41","L1","HH_word_ConvMask_bag","ConvMask","HH","bag","bag",1,"",NA
"42","L1","HH_word_ConvMask_bat","ConvMask","HH","bat","fat",0,"",NA
"43","L1","HH_word_ConvMask_beat","ConvMask","HH","beat","feet",0,"",NA
"44","L1","HH_word_ConvMask_book","ConvMask","HH","book","book",1,"",NA
"45","L1","HH_word_ConvMask_boot","ConvMask","HH","boot","soup",0,"",NA
"46","L1","HH_word_ConvMask_cab","ConvMask","HH","cab","cab",1,"",NA
"47","L1","HH_word_ConvMask_can","ConvMask","HH","can","can",1,"",NA
"48","L1","HH_word_ConvMask_cap","ConvMask","HH","cap","cap",1,"",NA
"49","L1","HH_word_ConvMask_chai","ConvMask","HH","chai","try",0,"",NA
"50","L1","HH_word_ConvMask_cheap","ConvMask","HH","cheap","eat",0,"",NA
"51","L1","HH_word_ConvMask_chip","ConvMask","HH","chip","tip",0,"",NA
"52","L1","HH_word_ConvMask_dot","ConvMask","HH","dot","dog",0,"",NA
"53","L1","HH_word_ConvMask_eat","ConvMask","HH","eat","eat",1,"",NA
"54","L1","HH_word_ConvMask_fat","ConvMask","HH","fat","cap",0,"",NA
"55","L1","HH_word_ConvMask_feet","ConvMask","HH","feet","feet",1,"",NA
"56","L1","HH_word_ConvMask_fit","ConvMask","HH","fit","spit",0,"",NA
"57","L1","HH_word_ConvMask_gap","ConvMask","HH","gap","gap",1,"",NA
"58","L1","HH_word_ConvMask_heat","ConvMask","HH","heat","eat",0,"eat",0
"59","L1","HH_word_ConvMask_hit","ConvMask","HH","hit","hit",1,"",NA
"60","L1","HH_word_ConvMask_hot","ConvMask","HH","hot","hot",1,"",NA
"61","L1","HH_word_ConvMask_it","ConvMask","HH","it","hit",0,"",NA
"62","L1","HH_word_ConvMask_keen","ConvMask","HH","keen","key",0,"",NA
"63","L1","HH_word_ConvMask_knot","ConvMask","HH","knot","not",1,"",NA
"64","L1","HH_word_ConvMask_mad","ConvMask","HH","mad","sad",0,"",NA
"65","L1","HH_word_ConvMask_neat","ConvMask","HH","neat","boot",0,"",NA
"66","L1","HH_word_ConvMask_pad","ConvMask","HH","pad","had",0,"",NA
"67","L1","HH_word_ConvMask_pat","ConvMask","HH","pat","cat",0,"",NA
"68","L1","HH_word_ConvMask_sheep","ConvMask","HH","sheep","eat",0,"",NA
"69","L1","HH_word_ConvMask_ship","ConvMask","HH","ship","ship",1,"",NA
"70","L1","HH_word_ConvMask_shy","ConvMask","HH","shy","shy",1,"",NA
"71","L1","HH_word_ConvMask_sigh","ConvMask","HH","sigh","thigh",0,"",NA
"72","L1","HH_word_ConvMask_sip","ConvMask","HH","sip","sit",0,"",NA
"73","L1","HH_word_ConvMask_tan","ConvMask","HH","tan","x",0,"",NA
"74","L1","HH_word_ConvMask_teen","ConvMask","HH","teen","key",0,"",NA
"75","L1","HH_word_ConvMask_ten","ConvMask","HH","ten","tan",0,"",NA
"76","L1","HH_word_ConvMask_tip","ConvMask","HH","tip","tip",1,"",NA
"77","L1","HH_word_ConvMask_tot","ConvMask","HH","tot","top",0,"",NA
"78","L1","HH_word_ConvMask_vat","ConvMask","HH","vat","back",0,"",NA
"79","L1","HH_word_ConvNoMask_back","ConvNoMask","HH","back","back",1,"",NA
"80","L1","HH_word_ConvNoMask_bag","ConvNoMask","HH","bag","die",0,"",NA
"81","L1","HH_word_ConvNoMask_bat","ConvNoMask","HH","bat","bad",0,"",NA
"82","L1","HH_word_ConvNoMask_beat","ConvNoMask","HH","beat","beat",1,"",NA
"83","L1","HH_word_ConvNoMask_book","ConvNoMask","HH","book","book",1,"",NA
"84","L1","HH_word_ConvNoMask_boot","ConvNoMask","HH","boot","suit",0,"",NA
"85","L1","HH_word_ConvNoMask_cab","ConvNoMask","HH","cab","cab",1,"",NA
"86","L1","HH_word_ConvNoMask_can","ConvNoMask","HH","can","can",1,"",NA
"87","L1","HH_word_ConvNoMask_cap","ConvNoMask","HH","cap","cap",1,"",NA
"88","L1","HH_word_ConvNoMask_chai","ConvNoMask","HH","chai","try",0,"",NA
"89","L1","HH_word_ConvNoMask_cheap","ConvNoMask","HH","cheap","cheap",1,"",NA
"90","L1","HH_word_ConvNoMask_chip","ConvNoMask","HH","chip","tip",0,"",NA
"91","L1","HH_word_ConvNoMask_dot","ConvNoMask","HH","dot","dot",1,"",NA
"92","L1","HH_word_ConvNoMask_eat","ConvNoMask","HH","eat","eat",1,"",NA
"93","L1","HH_word_ConvNoMask_fat","ConvNoMask","HH","fat","fat",1,"",NA
"94","L1","HH_word_ConvNoMask_feet","ConvNoMask","HH","feet","eat",0,"",NA
"95","L1","HH_word_ConvNoMask_fit","ConvNoMask","HH","fit","hit",0,"",NA
"96","L1","HH_word_ConvNoMask_gap","ConvNoMask","HH","gap","sat",0,"",NA
"97","L1","HH_word_ConvNoMask_heat","ConvNoMask","HH","heat","eat",0,"",NA
"98","L1","HH_word_ConvNoMask_hit","ConvNoMask","HH","hit","lip",0,"",NA
"99","L1","HH_word_ConvNoMask_hot","ConvNoMask","HH","hot","hot",1,"",NA
"100","L1","HH_word_ConvNoMask_it","ConvNoMask","HH","it","it",1,"",NA
"101","L1","HH_word_ConvNoMask_keen","ConvNoMask","HH","keen","key",0,"",NA
